PostalCode,Locality,State,Comment,Category,Country
1485,KOGARAH,NSW,PO BOXES,Post Office Boxes,Australia
1490,MIRANDA,NSW,PO BOXES,Post Office Boxes,Australia
1495,CARINGBAH,NSW,PO BOXES,Post Office Boxes,Australia
1499,SUTHERLAND,NSW,PO BOXES,Post Office Boxes,Australia
1515,WEST CHATSWOOD,NSW,PO BOXES,Post Office Boxes,Australia
1560,NORTHBRIDGE,NSW,PO BOXES,Post Office Boxes,Australia
1565,MILSONS POINT,NSW,PO BOXES,Post Office Boxes,Australia
1570,ARTARMON,NSW,PO BOXES,Post Office Boxes,Australia
1585,CROWS NEST,NSW,PO BOXES,Post Office Boxes,Australia
1590,ST LEONARDS,NSW,PO BOXES,Post Office Boxes,Australia
1595,LANE COVE,NSW,PO BOXES,Post Office Boxes,Australia
1602,LANE COVE DC,NSW,DOUBLEDAY,LVR,Australia
1630,HORNSBY,NSW,PO BOXES,Post Office Boxes,Australia
1635,HORNSBY WESTFIELD,NSW,PO BOXES,Post Office Boxes,Australia
1640,FRENCHS FOREST,NSW,PO BOXES,Post Office Boxes,Australia
1655,MANLY,NSW,PO BOXES,Post Office Boxes,Australia
1660,MONA VALE,NSW,PO BOXES,Post Office Boxes,Australia
1670,NORTH RYDE,NSW,PO BOXES,Post Office Boxes,Australia
1670,NORTH RYDE BC,NSW,PO BOXES,Post Office Boxes,Australia
1675,GLADESVILLE,NSW,PO BOXES,Post Office Boxes,Australia
1680,RYDE,NSW,PO BOXES,Post Office Boxes,Australia
1685,WEST RYDE,NSW,PO BOXES,Post Office Boxes,Australia
1700,ERMINGTON,NSW,PO BOXES,Post Office Boxes,Australia
1710,EPPING,NSW,PO BOXES,Post Office Boxes,Australia
1715,PENNANT HILLS,NSW,PO BOXES,Post Office Boxes,Australia
1730,SEVEN HILLS,NSW,PO BOXES,Post Office Boxes,Australia
1750,NORTH PARRAMATTA,NSW,PO BOXES,Post Office Boxes,Australia
1755,BAULKHAM HILLS,NSW,PO BOXES,Post Office Boxes,Australia
1765,CASTLE HILL,NSW,PO BOXES,Post Office Boxes,Australia
1790,ST MARYS,NSW,PO BOXES,Post Office Boxes,Australia
1800,ASHFIELD,NSW,PO BOXES,Post Office Boxes,Australia
1805,BURWOOD,NSW,PO BOXES,Post Office Boxes,Australia
1811,SILVERWATER,NSW,PO BOXES,Post Office Boxes,Australia
1825,LIDCOMBE,NSW,PO BOXES,Post Office Boxes,Australia
1835,AUBURN,NSW,PO BOXES,Post Office Boxes,Australia
1860,FAIRFIELD,NSW,PO BOXES,Post Office Boxes,Australia
1871,LIVERPOOL,NSW,PO BOXES,Post Office Boxes,Australia
1874,MOOREBANK,NSW,PO BOXES,LVR,Australia
1875,MOOREBANK,NSW,PO BOXES,Post Office Boxes,Australia
1885,BANKSTOWN,NSW,PO BOXES,Post Office Boxes,Australia
1890,INGLEBURN,NSW,PO BOXES,Post Office Boxes,Australia
2000,BARANGAROO,NSW,,Delivery Area,Australia
2000,DAWES POINT,NSW,,Delivery Area,Australia
2000,HAYMARKET,NSW,,Delivery Area,Australia
2000,MILLERS POINT,NSW,,Delivery Area,Australia
2000,PARLIAMENT HOUSE,NSW,SYDNEY,Delivery Area,Australia
2000,SYDNEY,NSW,,Delivery Area,Australia
2000,SYDNEY SOUTH,NSW,PO BOXES,Delivery Area,Australia
2000,THE ROCKS,NSW,SYDNEY,Delivery Area,Australia
2001,SYDNEY,NSW,PO BOXES,Post Office Boxes,Australia
2002,WORLD SQUARE,NSW,PO BOXES,Post Office Boxes,Australia
2004,EASTERN SUBURBS MC,NSW,PO BOXES,Post Office Boxes,Australia
2006,THE UNIVERSITY OF SYDNEY,NSW,PO BOXES,Post Office Boxes,Australia
2007,BROADWAY,NSW,PO BOXES,Delivery Area,Australia
2007,ULTIMO,NSW,,Delivery Area,Australia
2008,CHIPPENDALE,NSW,,Delivery Area,Australia
2008,DARLINGTON,NSW,CHIPPENDALE,Delivery Area,Australia
2009,PYRMONT,NSW,,Delivery Area,Australia
2010,DARLINGHURST,NSW,,Delivery Area,Australia
2010,SURRY HILLS,NSW,,Delivery Area,Australia
2011,ELIZABETH BAY,NSW,,Delivery Area,Australia
2011,POTTS POINT,NSW,,Delivery Area,Australia
2011,RUSHCUTTERS BAY,NSW,,Delivery Area,Australia
2011,WOOLLOOMOOLOO,NSW,,Delivery Area,Australia
2012,STRAWBERRY HILLS,NSW,PO BOXES,Post Office Boxes,Australia
2015,ALEXANDRIA,NSW,,Delivery Area,Australia
2015,BEACONSFIELD,NSW,,Delivery Area,Australia
2015,EVELEIGH,NSW,,Delivery Area,Australia
2016,REDFERN,NSW,,Delivery Area,Australia
2017,WATERLOO,NSW,,Delivery Area,Australia
2017,WATERLOO DC,NSW,,Delivery Area,Australia
2017,ZETLAND,NSW,,Delivery Area,Australia
2018,EASTLAKES,NSW,,Delivery Area,Australia
2018,ROSEBERY,NSW,,Delivery Area,Australia
2019,BANKSMEADOW,NSW,,Delivery Area,Australia
2019,BOTANY,NSW,,Delivery Area,Australia
2020,MASCOT,NSW,,Delivery Area,Australia
2020,SYDNEY DOMESTIC AIRPORT,NSW,PO BOXES,Delivery Area,Australia
2020,SYDNEY INTERNATIONAL AIRPORT,NSW,PO BOXES,Delivery Area,Australia
2021,CENTENNIAL PARK,NSW,,Delivery Area,Australia
2021,MOORE PARK,NSW,,Delivery Area,Australia
